1.862110000000000127e+02,3.109406014548846391e-03,9.350400587765474506e-05
2.419950000000000045e+02,2.774051190888505124e-03,5.819948322287108296e-05
2.952239999999999895e+02,2.440126164995893611e-03,4.216109539697920065e-05
3.519320000000000164e+02,2.247164576854465950e-03,3.643347538102382680e-05
6.093200000000000500e+02,1.591881407595460273e-03,2.592123072146034044e-05
1.120294000000000096e+03,1.149023560534115319e-03,2.280777715436283621e-05
1.238122000000000071e+03,1.062972728152429764e-03,2.854839604415469422e-05
1.764490999999999985e+03,8.461469166022669462e-04,1.798863497287275166e-05
2.204059000000000196e+03,7.496502184677472907e-04,2.376775003771675718e-05
2.447699999999999818e+03,7.053614201050801159e-04,3.769556425475479499e-05
