num      energy        midtime       peakrate            +/-          I*eff          IsoBrconvergence    parent     activROI_Chisq/dofTot_Chisq/dof                                     filename
3       121.782         176387        45.9222       0.439465         0.2853              1    3    eu152e    eu152e   2.17042   1.13107                                    eu152.Chn
4       241.995         176387        0.03885       0.119957        0.07251              1    3     pb214     pb214   1.29765   1.13107                                    eu152.Chn
5       244.697         176387         14.051       0.160297         0.0755              1    3    eu152e    eu152e   0.77823   1.13107                                    eu152.Chn
6       277.371         176387     -0.0687215      0.0285665          0.066              1    3     tl208     tl208  0.956812   1.13107                                    eu152.Chn
7       295.223         176387     -0.0483348      0.0550309         0.1842              1    3     pb214     pb214  0.911927   1.13107                                    eu152.Chn
8       295.939         176387       0.932782      0.0519044         0.0044              1    3    eu152e    eu152e  0.911927   1.13107                                    eu152.Chn
9       344.279         176387        44.4812       0.244161         0.2659              1    3    eu152b    eu152b   1.10008   1.13107                                    eu152.Chn
10      351.932         176387      0.0741694      0.0377283          0.356              1    3     pb214     pb214   1.10008   1.13107                                    eu152.Chn
11      367.789         176387        1.36879      0.0394324        0.00859              1    3    eu152b    eu152b   1.01211   1.13107                                    eu152.Chn
12      411.116         176387        3.38983      0.0356421        0.02237              1    3    eu152b    eu152b  0.570304   1.13107                                    eu152.Chn
15      488.679         176387        0.62911      0.0155069        0.00414              1    3    eu152e    eu152e   1.12214   1.13107                                    eu152.Chn
16      563.986         176387       0.646107      0.0205171        0.00494              1    3    eu152e    eu152e   1.02701   1.13107                                    eu152.Chn
17      583.187         176387      0.0375746      0.0158259           0.85              1    3     tl208     tl208   1.02701   1.13107                                    eu152.Chn
18      586.265         176387       0.556358      0.0194716        0.00455              1    3    eu152b    eu152b   1.02701   1.13107                                    eu152.Chn
19       609.32         176387       0.037615      0.0243283         0.4549              1    3     bi214     bi214   1.20525   1.13107                                    eu152.Chn
22      678.623         176387       0.448671      0.0213393        0.00473              1    3    eu152b    eu152b   1.03203   1.13107                                    eu152.Chn
23       688.67         176387       0.994681      0.0252947        0.00856              1    3    eu152e    eu152e   1.13739   1.13107                                    eu152.Chn
24      719.346         176387       0.318557      0.0295666         0.0025              1    3    eu152e    eu152e  0.964398   1.13107                                    eu152.Chn
27      778.904         176387        13.6322      0.0575725         0.1293              1    3    eu152b    eu152b   1.10603   1.13107                                    eu152.Chn
28       785.96         176387      0.0243374      0.0133966         0.0106              1    3     pb214     pb214   1.10603   1.13107                                    eu152.Chn
29       806.18         176387     -0.0105778      0.0245044        0.01264              1    3     bi214     bi214   1.02059   1.13107                                    eu152.Chn
30      810.451         176387       0.378782      0.0248406        0.00317              1    3    eu152e    eu152e   1.02059   1.13107                                    eu152.Chn
31      860.557         176387     -0.0794784      0.0773783          0.125              1    3     tl208     tl208   1.14874   1.13107                                    eu152.Chn
32       867.38         176387        4.20415      0.0412429         0.0423              1    3    eu152e    eu152e   1.14874   1.13107                                    eu152.Chn
33      919.337         176387        0.39806      0.0172969        0.00419              1    3    eu152e    eu152e  0.834608   1.13107                                    eu152.Chn
34       926.31         176387       0.237483      0.0151275        0.00272              1    3    eu152e    eu152e  0.834608   1.13107                                    eu152.Chn
35      934.056         176387     -0.0482305       0.013764        0.03107              1    3     bi214     bi214  0.834608   1.13107                                    eu152.Chn
36      964.057         176387         13.836         0.1016         0.1451              1    3    eu152e    eu152e    1.3854   1.13107                                    eu152.Chn
37      1005.27         176387       0.697571      0.0188953        0.00659              1    3    eu152e    eu152e   0.88652   1.13107                                    eu152.Chn
40      1112.08         176387        11.8766      0.0554146         0.1367              1    3    eu152e    eu152e    1.1228   1.13107                                    eu152.Chn
41      1120.29         176387     0.00781338       0.011681         0.1492              1    3     bi214     bi214    1.1228   1.13107                                    eu152.Chn
43      1173.23         176387      0.0407851      0.0132752         0.9985              1    3      co60      co60  0.586516   1.13107                                    eu152.Chn
44      1212.95         176387        1.18777       0.019881        0.01415              1    3    eu152e    eu152e  0.996287   1.13107                                    eu152.Chn
47      1299.14         176387        1.38376      0.0192063        0.01633              1    3    eu152b    eu152b   1.28769   1.13107                                    eu152.Chn
48      1332.49         176387      0.0339221     0.00749032       0.999826              1    3      co60      co60    1.0861   1.13107                                    eu152.Chn
50      1401.52         176387      0.0135898     0.00413602         0.0133              1    3     bi214     bi214   1.22444   1.13107                                    eu152.Chn
52      1408.01         176387        16.0409      0.0674446         0.2087              1    3    eu152e    eu152e   1.22444   1.13107                                    eu152.Chn
53      1457.64         176387       0.383057     0.00869325        0.00497              1    3    eu152e    eu152e  0.984022   1.13107                                    eu152.Chn
54      1460.82         176387       0.114584     0.00873629         0.1066              1    3       k40       k40  0.984022   1.13107                                    eu152.Chn
56       1528.1         176387       0.209392     0.00678811        0.00279              1    3    eu152e    eu152e   1.18252   1.13107                                    eu152.Chn
59      1764.49         176387         0.0168     0.00466706          0.153              1    3     bi214     bi214  0.821135   1.13107                                    eu152.Chn
64      2614.51         176387      0.0231484     0.00487673        0.99754              1    3     tl208     tl208  0.540762   1.13107                                    eu152.Chn
65      566.438         176387       0.228566       0.017841        0.00131              1    3    eu152e    eu152e   1.02701   1.13107                                    eu152.Chn
