na22   na22   1274.5370 1.649056e-09 9.913586e-12 9.913586e-12 1.673451e+10 2.510177e+08 2.814355e+08 3.398610e+08 9.994000e-01 1.400000e-04 2.757959e+01 1.657995e-01
co60   co60   1173.2280 1.533714e-06 1.022970e-08 1.022970e-08 2.180674e+07 3.271011e+05 3.284138e+05 3.258953e+05 9.985000e-01 3.000000e-04 3.339514e+01 2.227417e-01
co60   co60   1332.4920 1.423830e-06 9.651604e-09 9.651604e-09 2.180674e+07 3.271011e+05 3.284138e+05 3.258953e+05 9.998260e-01 6.000000e-06 3.104369e+01 2.104334e-01
ba133  ba133  53.1622 1.290003e-04 2.365828e-06 2.365828e-06 9.373245e+05 1.405987e+04 1.435171e+04 1.444553e+04 2.140000e-02 3.000000e-04 2.587584e+00 4.745555e-02
ba133  ba133  79.6142 2.049514e-04 4.223718e-06 4.223718e-06 9.373245e+05 1.405987e+04 1.435171e+04 1.444553e+04 2.650000e-02 5.000000e-04 5.090809e+00 1.049133e-01
ba133  ba133  80.9979 1.368893e-04 5.318779e-07 5.318779e-07 9.373245e+05 1.405987e+04 1.435171e+04 1.444553e+04 3.290000e-01 3.000000e-03 4.221389e+01 1.640204e-01
ba133  ba133  160.6120 1.295845e-04 8.537576e-06 8.537576e-06 9.373245e+05 1.405987e+04 1.435171e+04 1.444553e+04 6.380000e-03 5.000000e-05 7.749325e-01 5.105582e-02
ba133  ba133  223.2368 1.099364e-04 7.445180e-06 7.445180e-06 9.373245e+05 1.405987e+04 1.435171e+04 1.444553e+04 4.530000e-03 3.000000e-05 4.667989e-01 3.161283e-02
ba133  ba133  276.3989 9.441271e-05 8.956677e-07 8.956677e-07 9.373245e+05 1.405987e+04 1.435171e+04 1.444553e+04 7.160000e-02 5.000000e-04 6.336267e+00 6.011044e-02
ba133  ba133  302.8508 9.157139e-05 5.372858e-07 5.372858e-07 9.373245e+05 1.405987e+04 1.435171e+04 1.444553e+04 1.834000e-01 1.300000e-03 1.574161e+01 9.236228e-02
ba133  ba133  356.0129 8.347277e-05 2.756139e-07 2.756139e-07 9.373245e+05 1.405987e+04 1.435171e+04 1.444553e+04 6.205000e-01 1.900000e-03 4.854859e+01 1.602998e-01
ba133  ba133  383.8485 8.121399e-05 7.560221e-07 7.560221e-07 9.373245e+05 1.405987e+04 1.435171e+04 1.444553e+04 8.940000e-02 6.000000e-04 6.805474e+00 6.335224e-02
cs137  cs137  661.6570 4.870168e-04 2.769687e-06 2.769687e-06 1.365915e+05 2.048873e+03 2.107274e+03 2.097750e+03 8.510000e-01 2.000000e-03 5.661053e+01 3.219467e-01
eu152  eu152b 344.2785 1.764964e-04 1.111430e-06 1.111430e-06 4.387965e+05 6.581948e+03 -6.680341e+03 -6.658057e+03 2.659000e-01 2.000000e-03 2.059290e+01 1.296772e-01
eu152  eu152b 367.7891 1.594466e-04 8.314578e-06 8.314578e-06 4.387965e+05 6.581948e+03 -6.680341e+03 -6.658057e+03 8.590000e-03 6.000000e-05 6.009961e-01 3.133982e-02
eu152  eu152b 411.1165 1.506583e-04 3.996274e-06 3.996274e-06 4.387965e+05 6.581948e+03 -6.680341e+03 -6.658057e+03 2.237000e-02 1.300000e-04 1.478843e+00 3.922693e-02
eu152  eu152b 586.2648 1.224536e-04 1.104582e-05 1.104582e-05 4.387965e+05 6.581948e+03 -6.680341e+03 -6.658057e+03 4.550000e-03 4.000000e-05 2.444816e-01 2.205325e-02
eu152  eu152b 678.6230 1.134309e-04 1.013966e-05 1.013966e-05 4.387965e+05 6.581948e+03 -6.680341e+03 -6.658057e+03 4.730000e-03 4.000000e-05 2.354266e-01 2.104495e-02
eu152  eu152b 778.9045 1.081534e-04 1.276748e-06 1.276748e-06 4.387965e+05 6.581948e+03 -6.680341e+03 -6.658057e+03 1.293000e-01 8.000000e-04 6.136232e+00 7.243809e-02
eu152  eu152b 1299.1420 8.072174e-05 3.119320e-06 3.119320e-06 4.387965e+05 6.581948e+03 -6.680341e+03 -6.658057e+03 1.633000e-02 1.100000e-04 5.784155e-01 2.235163e-02
